"","Treatment","Genotype","Class","SPAD","Dry.Biomass","Replicate"
"1","Control","G1","Wild Progenitor",35.5,4.9,1
"2","Control","G1","Wild Progenitor",40.6,5.01,2
"3","Control","G1","Wild Progenitor",37.1,4.23,3
"4","Control","G1","Wild Progenitor",37,3.74,4
"5","Control","G1","Wild Progenitor",29.5,4.03,5
"6","Control","G1","Wild Progenitor",37.2,4.36,6
"7","Herbivory","G1","Wild Progenitor",34.5,5.48,1
"8","Herbivory","G1","Wild Progenitor",36.1,4.31,2
"9","Herbivory","G1","Wild Progenitor",37.9,4.95,3
"10","Herbivory","G1","Wild Progenitor",35.5,3.34,4
"11","Herbivory","G1","Wild Progenitor",33,4.38,5
"12","Herbivory","G1","Wild Progenitor",45.4,3.88,6
"13","Flooding","G1","Wild Progenitor",29.4,2.77,1
"14","Flooding","G1","Wild Progenitor",32,2.93,2
"15","Flooding","G1","Wild Progenitor",36.1,3.18,3
"16","Flooding","G1","Wild Progenitor",31.6,2.83,4
"17","Flooding","G1","Wild Progenitor",31.5,2.06,5
"18","Flooding","G1","Wild Progenitor",33.1,2.31,6
"19","FloodingHerbivory","G1","Wild Progenitor",26.9,3.56,1
"20","FloodingHerbivory","G1","Wild Progenitor",34.1,3.12,2
"21","FloodingHerbivory","G1","Wild Progenitor",32.6,2.08,3
"22","FloodingHerbivory","G1","Wild Progenitor",30.7,1.68,4
"23","FloodingHerbivory","G1","Wild Progenitor",32.1,2.41,5
"24","FloodingHerbivory","G1","Wild Progenitor",29.4,1.21,6
"25","Control","G2","Wild Progenitor",40.1,3.26,1
"26","Control","G2","Wild Progenitor",31.3,2.67,2
"27","Control","G2","Wild Progenitor",41,3.18,3
"28","Control","G2","Wild Progenitor",37.4,5.3,4
"29","Control","G2","Wild Progenitor",31.2,3.07,5
"30","Control","G2","Wild Progenitor",39.9,2.43,6
"31","Herbivory","G2","Wild Progenitor",34.9,3.17,1
"32","Herbivory","G2","Wild Progenitor",33.3,2.6,2
"33","Herbivory","G2","Wild Progenitor",33,3.69,3
"34","Herbivory","G2","Wild Progenitor",42.9,3.01,4
"35","Herbivory","G2","Wild Progenitor",35.7,2.37,5
"36","Herbivory","G2","Wild Progenitor",38.3,2.64,6
"37","Flooding","G2","Wild Progenitor",28,1.66,1
"38","Flooding","G2","Wild Progenitor",29.1,2.03,2
"39","Flooding","G2","Wild Progenitor",25.4,1.5,3
"40","Flooding","G2","Wild Progenitor",32.3,1.18,4
"41","Flooding","G2","Wild Progenitor",30.3,0.85,5
"42","Flooding","G2","Wild Progenitor",34.7,1.9,6
"43","FloodingHerbivory","G2","Wild Progenitor",30,1.06,1
"44","FloodingHerbivory","G2","Wild Progenitor",29.2,1.17,2
"45","FloodingHerbivory","G2","Wild Progenitor",24.9,1.57,3
"46","FloodingHerbivory","G2","Wild Progenitor",23.1,2.05,4
"47","FloodingHerbivory","G2","Wild Progenitor",24.8,1.52,5
"48","FloodingHerbivory","G2","Wild Progenitor",20.5,1.05,6
"49","Control","G3","Wild",39.7,6.98,1
"50","Control","G3","Wild",37,3.64,2
"51","Control","G3","Wild",35.8,5.54,3
"52","Control","G3","Wild",31.5,4.42,4
"53","Control","G3","Wild",37.7,5.69,5
"54","Control","G3","Wild",34.2,6.05,6
"55","Herbivory","G3","Wild",45.1,5.25,1
"56","Herbivory","G3","Wild",38.2,6.23,2
"57","Herbivory","G3","Wild",32,5.1,3
"58","Herbivory","G3","Wild",47,6.28,4
"59","Herbivory","G3","Wild",36.1,4.3,5
"60","Herbivory","G3","Wild",40.9,3.46,6
"61","Flooding","G3","Wild",29.4,2.59,1
"62","Flooding","G3","Wild",31.5,3.34,2
"63","Flooding","G3","Wild",28.7,2.94,3
"64","Flooding","G3","Wild",29.9,1,4
"65","Flooding","G3","Wild",33.3,3.65,5
"66","Flooding","G3","Wild",29.7,2.93,6
"67","FloodingHerbivory","G3","Wild",35,3.56,2
"68","FloodingHerbivory","G3","Wild",34.8,3.66,3
"69","FloodingHerbivory","G3","Wild",37.5,3.53,4
"70","FloodingHerbivory","G3","Wild",29.5,4.44,5
"71","FloodingHerbivory","G3","Wild",28.5,3.66,6
"72","FloodingHerbivory","G3","Wild",26,3.62,1
"73","Control","G4","Wild",26.8,2.6,2
"74","Control","G4","Wild",37.3,5.56,3
"75","Control","G4","Wild",34.2,4.8,4
"76","Control","G4","Wild",39.3,4.73,5
"77","Control","G4","Wild",36.4,3.96,6
"78","Control","G4","Wild",39.7,4.1,1
"79","Herbivory","G4","Wild",33.2,4.87,2
"80","Herbivory","G4","Wild",28.9,5.5,3
"81","Herbivory","G4","Wild",30,0.91,4
"82","Herbivory","G4","Wild",34.7,6.15,5
"83","Herbivory","G4","Wild",46.1,6.65,6
"84","Herbivory","G4","Wild",32.6,3.96,1
"85","Flooding","G4","Wild",30.1,3.16,2
"86","Flooding","G4","Wild",25.1,2.12,3
"87","Flooding","G4","Wild",26.5,2.89,4
"88","Flooding","G4","Wild",27.3,2.62,5
"89","Flooding","G4","Wild",25.9,2.85,6
"90","Flooding","G4","Wild",34.7,1.9,1
"91","Control","G5","Mexican landrace",34.3,4.77,3
"92","Control","G5","Mexican landrace",33.2,5.04,4
"93","Control","G5","Mexican landrace",34.6,3.8,5
"94","Control","G5","Mexican landrace",30.1,3.99,6
"95","Control","G5","Mexican landrace",31.6,4.05,1
"96","Control","G5","Mexican landrace",32.1,3.54,2
"97","Herbivory","G5","Mexican landrace",33.3,3.55,3
"98","Herbivory","G5","Mexican landrace",34.6,4.22,4
"99","Herbivory","G5","Mexican landrace",28.6,3.67,5
"100","Herbivory","G5","Mexican landrace",35.8,4.15,6
