"","Name","Genotype","Treatment","Class.","Rep","Soil.pH","Phosphorous.P.","Potassium..K.","Calcium..Ca.","Magnesium.Mg.","Sulfur.S.","Boron.B.","Copper.Cu.","Iron.Fe.","Manganese.Mn..","Zinc.Zn.","Sodium.Na.","Organic.Matter","Estimated.N.Release","Nitrate.Nitrogen.NO3N.","Ammonium.Nitrogen","CEC"
"1","I.A.29","G1","Control","Wild Progenitor",1,7.4,191,278,3077,560,25,2.8,3.1,353,44,12.1,101,4.7,138,2.1,1.5,21.2
"2","I.A.29","G1","Control","Wild Progenitor",2,7.7,183,226,2828,536,23,2.6,2.8,317,35,11.2,108,5.2,148,9.3,5,19.7
"3","I.A.29","G1","Control","Wild Progenitor",3,7.7,206,282,2837,558,25,3,3.3,370,38,12.4,117,5.1,146,9.1,6.5,20.1
"4","I.A.29","G1","Control","Wild Progenitor",4,7.9,205,280,2950,529,28,2.7,3.1,337,37,12.1,103,5.6,156,10.6,5.5,20.3
"5","I.A.29","G1","Control","Wild Progenitor",5,7.5,210,302,3202,616,27,3.1,3.4,381,41,12.8,121,5.4,152,7.2,7.4,22.4
"6","I.A.29","G1","Herbivory","Wild Progenitor",1,7.4,192,266,2757,547,17,3.1,3.2,379,39,11.8,103,5.7,158,7,7.9,19.5
"7","I.A.29","G1","Herbivory","Wild Progenitor",2,7.9,192,246,2900,551,15,2.9,3,348,43,11.3,112,5.5,154,2.8,6.7,20.2
"8","I.A.29","G1","Herbivory","Wild Progenitor",3,7.7,194,275,2943,543,24,2.5,3.1,349,38,11.7,95,5.5,154,6.3,4.9,20.4
"9","I.A.29","G1","Herbivory","Wild Progenitor",4,7.7,192,278,2575,508,16,2.5,2.9,324,33,11.1,95,5.6,156,6.9,4.6,18.2
"10","I.A.29","G1","Herbivory","Wild Progenitor",5,7.9,197,255,2960,520,19,2.6,3.1,340,39,12,89,5,144,6.3,4.7,20.2
"11","I.A.29","G1","Flooding","Wild Progenitor",1,7.6,178,335,2793,492,21,2.3,3.1,513,172,10.7,57,5.4,152,1.7,9.8,19.2
"12","I.A.29","G1","Flooding","Wild Progenitor",2,7.6,166,343,2747,512,19,2.3,2.9,563,187,9.7,55,5,144,1.5,11.2,19.1
"13","I.A.29","G1","Flooding","Wild Progenitor",3,8,169,322,2881,503,14,2.3,3.3,533,169,10,59,5.3,150,1.1,9.5,19.7
"14","I.A.29","G1","Flooding","Wild Progenitor",4,8,173,333,2942,495,16,2.5,2.7,542,201,10.2,59,5.4,152,1.1,12.5,19.9
"15","I.A.29","G1","Flooding","Wild Progenitor",5,7.5,162,338,2824,475,22,2.3,2.4,554,195,9.2,45,4.9,142,1.4,12,19.1
"16","I.A.29","G1","DualStress","Wild Progenitor",1,7.8,174,329,3042,503,18,2.2,3,520,186,10.1,46,5.9,162,1.8,9.5,20.4
"17","I.A.29","G1","DualStress","Wild Progenitor",2,7.8,177,344,2794,493,14,2.3,2.6,563,182,9.7,52,5.6,156,2.2,12.1,19.2
"18","I.A.29","G1","DualStress","Wild Progenitor",3,7.7,174,348,2583,475,20,2.2,2.8,539,176,9.7,51,5.2,148,1.7,12.3,18
"19","I.A.29","G1","DualStress","Wild Progenitor",4,8,176,342,2732,494,18,2.4,3.2,519,164,10.5,62,4.8,140,1.9,11.5,18.9
"20","I.A.29","G1","DualStress","Wild Progenitor",5,7.5,174,351,2734,518,19,2.3,3.3,518,168,10.4,61,5.1,146,1.7,12,19.2
"21","I.A.8","G2","Control","Wild Progenitor",1,7.5,184,308,3060,553,15,2.5,3.1,353,54,11.7,59,5.5,154,6.7,8,21
"22","I.A.8","G2","Control","Wild Progenitor",2,7.8,194,304,2962,542,20,2.3,3,364,44,11.9,47,5.4,152,2.9,5.4,20.3
"23","I.A.8","G2","Control","Wild Progenitor",3,7.7,165,260,2521,452,19,1.9,2.5,309,33,10.5,39,5.3,150,7.6,4.3,17.2
"24","I.A.8","G2","Control","Wild Progenitor",4,7.3,186,260,2866,536,15,2.2,2.9,335,36,12.1,60,6,164,7.9,4.9,19.7
"25","I.A.8","G2","Control","Wild Progenitor",5,7.7,203,315,3131,555,19,2.2,3,376,47,13.1,47,5.6,156,2.8,4.8,21.3
"26","I.A.8","G2","Herbivory","Wild Progenitor",1,7.6,189,287,2876,508,22,2.3,2.9,333,41,11.4,49,5.7,158,4.6,5.1,19.6
"27","I.A.8","G2","Herbivory","Wild Progenitor",2,7.5,190,304,3014,537,19,2.3,3,354,44,12.1,58,5.6,156,3.3,5.9,20.6
"28","I.A.8","G2","Herbivory","Wild Progenitor",3,7.7,194,289,2810,511,16,2.5,3,340,37,12.8,44,5.4,152,6,7.3,19.2
"29","I.A.8","G2","Herbivory","Wild Progenitor",4,7.3,178,295,2868,494,19,2.2,2.8,317,34,11.5,42,5.2,148,7.9,5.6,19.4
"30","I.A.8","G2","Herbivory","Wild Progenitor",5,7.5,193,318,3005,557,13,2.4,3,359,41,12.4,55,5.4,152,6.5,5.2,20.7
"31","I.A.8","G2","Flooding","Wild Progenitor",1,7.8,166,337,2912,515,20,2.3,2.9,495,169,10.2,53,5.7,158,1.6,9,19.9
"32","I.A.8","G2","Flooding","Wild Progenitor",2,7.9,172,297,2836,509,16,2.1,3.5,431,126,10.6,65,6,164,2.6,8.4,19.5
"33","I.A.8","G2","Flooding","Wild Progenitor",3,7.5,181,369,3180,535,21,2.1,3.6,441,138,11.8,46,5.1,146,2.8,8.1,21.5
"34","I.A.8","G2","Flooding","Wild Progenitor",4,7.8,179,367,2908,523,15,2.2,3.6,439,134,11.6,57,5.7,158,1.9,8.5,20.1
"35","I.A.8","G2","Flooding","Wild Progenitor",5,7.6,175,338,2767,475,15,2.1,3,495,154,10.8,46,5.5,154,1.6,11,18.9
