"","Name","Domestication","Genotype","Flooding","Herbivory","Treatment_Combination","SampleID","Biomass","Height","Cyclopentanone","X2_Hexenal","ethylcyclopentanone","b_Myrcene","X3_Hexen.1.ol.acetate","X2_Hexen1olacetate","D_Limonene","transbetaOcimene","betaOcimene","y_Terpinene","alpha_Terpinolene","alpha_myrcene","Linalool","Nonanal","Dimethylnonatriene","Bicyclopentyl1diene","Methylsalicylate","X11_Bicyclopentyl2one","Indole","Tridecane","alphaMuurolene","Ylangene","alphaCopaene","betaBourbonene","alphaSesquiphellandrene","gamma_Himachalene","Caryophyllene","epi_Bicyclosesquiphellandrene","transalphaBergamotene","Sesquisabinene","Humulene","EbetaFarnesene","betaCopaene","y_Muurolene","GermacreneD","X1Pentadecane","Pentadecane","betaBisabolene","betaCucurmene","betasesquiphellandrene","transGeranylgeraniol","Total_VOCs"
"1","I.A.29","Wild Progenitor","G1","Not_Flooded","No","Control","G1_C_1",43.57,113.1,27036.35529,0,4033.371586,648.9557035,1687.652054,0,622.5613955,240.555428,10422.17122,0,0,199.3344044,471.4482442,0,30565.13656,1500.068855,0,40725.08607,0,0,9134.771632,4302.203351,0,160.8446179,1011.085609,0,30919.27932,228.8271747,14796.67202,270.9662612,18296.80973,0,250.700023,300.803305,1253.706679,277.6222171,418.3383062,277.3467983,0,462.7266468,1177.759927,201693.1604
"2","I.A.29","Wild Progenitor","G1","Not_Flooded","No","Control","G1_C_2",57.08,121.5,19851.31395,0,3436.720392,0,2390.592151,0,511.1247372,89.80378416,1316.310441,0,0,79.43237561,287.1758935,0,5076.156272,1089.155571,82.27049755,0,0,83.12894184,1377.224947,354.8177996,0,0,0,0,1186.002102,0,314.085494,0,240.1541696,0,0,0,0,0,0,0,0,0,0,37765.46952
"3","I.A.29","Wild Progenitor","G1","Not_Flooded","No","Control","G1_C_3",38.14,100.4,42789.90561,798.3481909,8700.603041,305.1651809,8998.453068,0,1699.606712,790.2202412,285.972732,0,404.8505506,150.9963293,733.5081279,0,6957.498689,3347.037231,241.1903513,68350.49816,0,0,5332.433141,3442.501311,0,144.1793393,0,0,25267.75039,147.2469848,6299.34452,0,2935.002622,0,0,270.7918196,6386.182486,419.48086,284.5831148,262.3230205,0,192.7635029,0,195938.4373
"4","I.A.29","Wild Progenitor","G1","Not_Flooded","No","Control","G1_C_4",35.27,100.5,35314.65835,0,6255.457896,0,3817.238446,0,1092.344769,164.4740573,1563.680181,0,0,0,352.56592,0,5227.161894,1815.452226,0,61629.54352,0,164.2472356,816.2177488,1377.204423,0,0,0,0,5934.193365,0,9527.388716,0,3983.838957,0,0,0,0,0,289.5662036,0,394.272753,0,0,139719.5067
"5","I.A.29","Wild Progenitor","G1","Not_Flooded","No","Control","G1_C_5",38.8,119.2,42242.73196,118.7371134,6483.092784,329.8195876,3574.871134,0,725.7989691,367.7835052,1475.128866,0,0,157.9639175,336.6237113,0,8185.953608,2021.597938,108.7113402,48749.69072,0,116.185567,4078.170103,1153.376289,0,0,1960.850515,955.9793814,2373.582474,0,345.0773196,0,202.0103093,0,0,0,253.9175258,0,0,0,115.8247423,110.5412371,0,126544.0206
"6","I.A.29","Wild Progenitor","G1","Not_Flooded","No","Control","G1_C_6",45.45,104.2,22965.4417,348.5276796,3637.997644,330.3415783,3089.799764,0,551.6372203,94.36984688,0,0,0,0,253.5924617,0,697.8563015,1048.339223,81.83745583,39079.08127,107.3027091,79.34040047,2788.881037,1726.972909,0,0,0,0,2839.858657,0,140.1413428,0,0,0,0,0,217.9269729,0,0,78.46878681,0,0,0,80157.71496
"7","I.A.29","Wild Progenitor","G1","Not_Flooded","Herbivory","Herbivory","G1_H_1",51.08,127.4,13494.6946,0,0,0,93904.15035,12534.04464,0,0,1473.981989,0,0,0,15506.852,2649.745497,41992.01253,0,0,6823.981989,1409.729836,0,0,0,0,0,1618.480814,777.7603759,57775.97886,0,84094.16601,2281.127643,1933.868442,148108.5552,0,0,424.7454973,486.2176977,0,1075.6852,0,2867.032106,2502.153485,493734.9648
"8","I.A.29","Wild Progenitor","G1","Not_Flooded","Herbivory","Herbivory","G1_H_2",45.21,107.1,0,6053.019244,0,363.9902676,28425.03871,4396.90334,0,0,1904.445919,0,0,0,21321.49967,702.632161,30673.72263,0,0,3469.542137,0,0,1676.133599,367.6399027,0,0,941.6279584,195.443486,92907.34351,0,98245.78633,1970.714444,3521.809334,87629.48463,357.0227826,147.3346605,241.3625304,214.6870161,282.4375138,426.3437293,0,1061.557178,0,387497.5227
"9","I.A.29","Wild Progenitor","G1","Not_Flooded","Herbivory","Herbivory","G1_H_3",49.27,118.2,0,24447.77755,0,805.1349706,56694.51999,6053.054597,0,267.9926933,6026.405521,0,0,0,19502.67912,3182.809012,14147.75726,0,0,4776.030039,0,0,9593.221027,1786.29998,0,0,1372.275218,0,62877.63345,0,81612.44165,2144.063325,2144.672214,118728.1104,283.8441242,0,267.5258778,385.1024964,355.46986,860.6048305,0,2444.266288,1649.868074,422409.5596
"10","I.A.29","Wild Progenitor","G1","Not_Flooded","Herbivory","Herbivory","G1_H_4",41.71,104.5,22858.59506,1775.976984,0,0,11309.0386,568.9283146,282.0187006,0,2021.026133,0,0,0,6007.28842,4535.531048,62969.91129,403.3325342,0,15409.2304,0,0,12756.96476,8198.849197,0,0,4824.382642,0,207909.0865,342.8674179,281365.0444,4853.776073,6230.304483,259385.6869,741.8844402,833.5411172,1395.037161,1631.023735,3652.841045,4622.224886,0,19432.12659,477.9429393,946794.4618
